Company,Country,HQ,Industry,Scale,Pillar,Tags,About
Sierra,USA,San Francisco,"Agentic AI, Customer Experience",Unicorn,AgenticAI,"#company, #AgenticAI, #CX, #BretTaylor",Agentic AI platform for high-resolution autonomous customer service.
Harvey AI,USA,San Francisco,"Vertical AI, Legal",Unicorn,VerticalAI,"#company, #VerticalAI, #LegalTech",Standard for M&A due diligence and legal research for Big Law.
Hebbia,USA,New York,"Vertical AI, Finance",Scale-up,VerticalAI,"#company, #VerticalAI, #Finance, #WallStreet",Matrix platform for automated analysis of global financial assets.
Formation Bio,USA,New York,"Vertical AI, Pharma",Scale-up,VerticalAI,"#company, #VerticalAI, #Pharma, #DrugDiscovery",AI-native drug development and clinical trial acceleration.
Rogo,USA,New York,"Agentic AI, Finance",Scale-up,AgenticAI,"#company, #AgenticAI, #Finance, #Banking",Autonomous agents for financial modeling and investment banking.
CloudNC,UK,London,"Physical AI, Manufacturing",Scale-up,PhysicalAI,"#company, #PhysicalAI, #Manufacturing, #SDR",Automating precision manufacturing with autonomous CNC programming.
LabGenius,UK,London,"Physical AI, Biotech",Scale-up,PhysicalAI,"#company, #PhysicalAI, #Biotech, #Robotics",Using a robotic platform to autonomously design and test protein therapeutics.
PhysicsX,UK,London,"Physical AI, Engineering",Scale-up,PhysicalAI,"#company, #PhysicalAI, #Engineering, #Simulations",Physical AI for engineering and aerospace simulations.
11xAI,UK,London,"Agentic AI, Sales",Scale-up,AgenticAI,"#company, #AgenticAI, #SDR, #Sales",Creator of Alice the world's first autonomous AI sales representative.
Gradient Labs,UK,London,"Agentic AI, FinOps",Scale-up,AgenticAI,"#company, #AgenticAI, #FinOps, #CustomerOps",Autonomous agents for customer operations in regulated finance.
Fetch.ai,UK,London,"Agentic AI, Decentralized",Scale-up,AgenticAI,"#company, #AgenticAI, #Decentralized, #MAS",Decentralized platform for autonomous economic agents.
Quantexa,UK,London,"Vertical AI, Decision Intelligence",Unicorn,VerticalAI,"#company, #VerticalAI, #DecisionIntelligence, #BigData",Decision intelligence platform for fraud detection and risk management.
Tractable,UK,London,"Vertical AI, Insurance",Unicorn,VerticalAI,"#company, #VerticalAI, #Insurance, #CV",Computer vision for automated insurance claims assessment.
Limbic,UK,London,"Vertical AI, Healthcare",Scale-up,VerticalAI,"#company, #VerticalAI, #Healthcare, #MentalHealth",Clinical AI for mental health triage and diagnostic support.
ElevenLabs,UK,London,"Vertical AI, Audio",Unicorn,VerticalAI,"#company, #VerticalAI, #Audio, #VoiceAI",Leader in AI voice synthesis and audio generation.
Manna Drone Delivery,Ireland,Dublin,"Physical AI, Logistics",Scale-up,PhysicalAI,"#company, #PhysicalAI, #Logistics, #Drones",Autonomous aerial logistics for suburban delivery.
Provizio,Ireland,Dublin,"Physical AI, Auto",Scale-up,PhysicalAI,"#company, #PhysicalAI, #Auto, #Safety",5D radar and edge AI for predictive automotive safety.
Ubotica,Ireland,Dublin,"Physical AI, Space",Scale-up,PhysicalAI,"#company, #PhysicalAI, #Space, #EdgeAI",Orbital AI platforms for autonomous satellite processing.
Protex AI,Ireland,Dublin,"Physical AI, Safety",Scale-up,PhysicalAI,"#company, #PhysicalAI, #Safety, #CV",Workplace safety monitoring using proactive computer vision.
Jentic,Ireland,Dublin,"Agentic AI, Infrastructure",Startup,AgenticAI,"#company, #AgenticAI, #Infra",Infrastructure for API-native business agents.
Rezolve AI,Ireland,Dublin,"Agentic AI, Service Desk",Scale-up,AgenticAI,"#company, #AgenticAI, #ITSM",Autonomous service desk for IT and HR support.
Numra,Ireland,Dublin,"Agentic AI, FinOps",Scale-up,AgenticAI,"#company, #AgenticAI, #Accounting",Automating financial operations with AI accounting assistants.
Nuritas,Ireland,Dublin,"Vertical AI, Biotech",Scale-up,VerticalAI,"#company, #VerticalAI, #Biotech, #Peptides",AI-driven peptide discovery for health and pharma.
Kitman Labs,Ireland,Dublin,"Vertical AI, Sports",Scale-up,VerticalAI,"#company, #VerticalAI, #Sports, #Analytics",Intelligence platform for elite sports performance and injury risk.
Nory,Ireland,Dublin,"Vertical AI, Hospitality",Scale-up,VerticalAI,"#company, #VerticalAI, #Hospitality, #SaaS",AI-powered operating system for the hospitality industry.
DeepX,South Korea,Gyeonggi,"Edge NPU, AI Chips",Scale-up,Infrastructure,"#company, #Infrastructure, #Semiconductors",AI semiconductor company focusing on NPU for edge devices.
FuriosaAI,South Korea,Seoul,"AI Hardware, Semiconductors",Scale-up,Infrastructure,"#company, #Infrastructure, #Semiconductors",High-performance NPU for data centers and edge AI.
Nota AI,South Korea,Seoul,"Model Optimization, Edge AI",Scale-up,Infrastructure,"#company, #Infrastructure, #Optimization",Lightweighting AI models for on-device deployment.
SqueezeBits,South Korea,Seoul,"Model Compression, AI Optimization",Startup,Infrastructure,"#company, #Infrastructure, #Optimization",AI model compression and acceleration software.
FriendliAI,South Korea,Seoul,"LLM Serving, Infrastructure",Startup,Infrastructure,"#company, #Infrastructure, #LLM",Optimized LLM serving and PeriFlow infrastructure.
Scatter Lab,South Korea,Seoul,"Social AI, Zeta",Scale-up,AgenticAI,"#company, #AgenticAI, #SocialAI",Interactive storytelling and social AI platform (Zeta).
LINER,South Korea,Seoul,"AI Search, Research",Scale-up,AgenticAI,"#company, #AgenticAI, #Search",Global AI search and research productivity leader.
Speak,USA,San Francisco,"AI Education, EdTech",Scale-up,VerticalAI,"#company, #VerticalAI, #EdTech, #Language",AI language tutoring and oral communication platform.
Riiid,South Korea,Seoul,"AI Education, EdTech",Scale-up,VerticalAI,"#company, #VerticalAI, #EdTech",AI-driven personalized learning for exam prep.
VUNO,South Korea,Seoul,"Healthcare AI, Medical Imaging",Public,VerticalAI,"#company, #VerticalAI, #Healthcare",Medical imaging and biosignal AI diagnostics.
AItrics,South Korea,Seoul,"Healthcare AI, Crisis Prediction",Scale-up,VerticalAI,"#company, #VerticalAI, #Healthcare",VitalCare platform for medical crisis prediction.
MediWhale,South Korea,Seoul,"Healthcare AI, Retinal Biomarkers",Scale-up,VerticalAI,"#company, #VerticalAI, #Healthcare",Reti-Intelligence for preventive care through eye scans.
Standigm,South Korea,Seoul,"AI Drug Discovery",Scale-up,VerticalAI,"#company, #VerticalAI, #DrugDiscovery",AI-driven drug discovery for industrial R&D.
Coredotbio,South Korea,Seoul,"mRNA AI, World Models",Startup,VerticalAI,"#company, #VerticalAI, #Biotech",mRNA AI and biological world models.
AIMMO,South Korea,Seongnam,"DataOps, Autonomous Driving",Scale-up,VerticalAI,"#company, #VerticalAI, #DataOps",High-quality data operations for autonomous physical systems.
Superb AI,South Korea,Seoul,"MLOps, Vision AI",Scale-up,VerticalAI,"#company, #VerticalAI, #MLOps",End-to-end MLOps platform for computer vision.
VoyagerX,South Korea,Seoul,"AI Video Editing, Creator UX",Scale-up,VerticalAI,"#company, #VerticalAI, #CreativeTech",AI video editing and productivity tools (Vrew).
Persona AI,South Korea,Seoul,"AICC, On-device AX",Scale-up,VerticalAI,"#company, #VerticalAI, #AICC",Artificial Intelligence Contact Center and on-device AI solutions.
Allganize,South Korea,Seoul,"Agentic AI, sLLM",Scale-up,AgenticAI,"#company, #AgenticAI, #sLLM",Agentic AI and small LLM enablement for enterprise.
Sendbird,USA,San Mateo,"Communication, AI CX",Scale-up,AgenticAI,"#company, #AgenticAI, #CX",AI-first communication and customer experience platform.
Moloco,USA,Redwood City,"AdTech, Machine Learning",Unicorn,VerticalAI,"#company, #VerticalAI, #AdTech",Operational ML and performance advertising technology.
MarqVision,USA,Los Angeles,"IP Protection, Brand Integrity",Scale-up,VerticalAI,"#company, #VerticalAI, #LegalTech",AI-driven IP and brand protection OS.
Mobilint,South Korea,Seoul,"Edge NPU, Industrial AI",Scale-up,Infrastructure,"#company, #Infrastructure, #NPU",Industrial NPU and edge AI for physical systems.
... (50+ more US companies based on search results)
